73.19,-0.88,180.56
73.23,-1.93,180.3
73.24,-3.07,180.07
73.2,-4.29,179.88
73.12,-5.54,179.74
73.01,-6.81,179.67
72.88,-8.07,179.68
72.74,-9.28,179.75
72.59,-10.43,179.87
72.44,-11.48,180.02
72.28,-12.4,180.19
72.09,-13.21,180.39
71.86,-13.91,180.63
71.57,-14.55,180.93
71.25,-15.13,181.3
70.9,-15.65,181.72
70.52,-16.18,182.2
70.07,-16.74,182.74
69.52,-17.36,183.36
68.84,-18.08,184.08
68.2,-18.88,184.84
67.78,-19.66,185.58
67.53,-20.36,186.26
67.36,-20.99,186.85
67.22,-21.56,187.33
67.1,-22.06,187.67
67,-22.53,187.92
66.9,-22.98,188.09
66.88,-23.43,188.21
66.98,-23.82,188.27
67.22,-24.13,188.24
67.6,-24.35,188.13
68.23,-24.29,187.87
69.23,-23.72,187.35
70.3,-22.89,186.63
71.54,-21.74,185.68
72.92,-20.32,184.63
74.21,-18.8,183.68
75.22,-17.26,182.95
75.93,-15.68,182.54
76.39,-14.08,182.48
76.77,-12.48,182.67
77.02,-11.02,182.98
77.11,-9.81,183.27
77.11,-8.85,183.43
77.05,-8.01,183.44
76.94,-7.27,183.35
76.79,-6.63,183.23
76.64,-6.08,183.12
76.53,-5.61,183.01
76.45,-5.2,182.92
76.41,-4.84,182.83
76.4,-4.53,182.73
76.42,-4.26,182.62
76.45,-4.02,182.5
76.5,-3.78,182.39
76.57,-3.56,182.29
76.65,-3.34,182.2
76.73,-3.15,182.11
76.8,-3.02,182.03
76.87,-2.95,181.98
76.91,-2.91,181.95
76.95,-2.88,181.93
77,-2.86,181.91
77.03,-2.86,181.89
77.06,-2.86,181.88
77.09,-2.86,181.86
77.12,-2.86,181.85
77.15,-2.87,181.83
77.18,-2.86,181.83
77.19,-2.85,181.82
77.18,-2.84,181.82
77.16,-2.82,181.82
77.12,-2.8,181.82
77.08,-2.77,181.82
77.04,-2.76,181.82
76.99,-2.74,181.82
76.96,-2.72,181.82
76.94,-2.71,181.82
76.92,-2.7,181.81
76.9,-2.69,181.8
76.89,-2.68,181.79
76.89,-2.66,181.77
76.9,-2.64,181.75
76.9,-2.61,181.73
76.88,-2.59,181.7
76.86,-2.56,181.67
76.83,-2.53,181.64
76.8,-2.51,181.61
76.76,-2.47,181.59
76.72,-2.43,181.57
76.67,-2.38,181.56
76.63,-2.31,181.55
76.6,-2.24,181.54
76.56,-2.16,181.53
76.55,-2.07,181.52
76.53,-1.97,181.5
76.52,-1.86,181.48
76.5,-1.76,181.45
76.53,-1.65,181.41
76.57,-1.52,181.37
76.59,-1.36,181.31
76.55,-1.18,181.22
76.45,-0.96,181.1
76.38,-0.67,181
76.39,-0.22,180.92
76.41,0.31,180.84
76.41,0.89,180.75
76.43,1.54,180.66
76.47,2.27,180.58
76.53,3.05,180.5
76.61,3.9,180.4
76.7,4.82,180.3
76.79,5.79,180.18
76.89,6.83,180.05
77.03,7.95,179.93
77.2,9.2,179.8
77.37,10.61,179.63
77.52,12.21,179.43
77.62,14.02,179.2
77.65,16.04,178.93
77.52,18.27,178.6
77.21,20.72,178.2
76.74,23.35,177.74
76.17,26.13,177.23
75.58,28.97,176.68
75.18,31.78,176.14
75.05,34.53,175.62
75.01,37.24,175.06
74.8,39.88,174.47
74.25,42.43,173.76
73.41,45.07,172.82
72.38,47.47,171.55
71.53,48.73,170.31
71.04,48.91,169.57
71.06,48.44,169.44
71.49,47.45,169.72
72.21,46.12,170.22
73.04,44.6,170.78
73.78,42.98,171.26
74.33,41.37,171.62
74.64,39.75,171.86
74.78,38.1,171.99
74.8,36.35,172.06
74.73,34.46,172.11
74.62,32.43,172.18
74.47,30.27,172.29
74.3,28.02,172.43
74.12,25.7,172.61
73.9,23.37,172.81
73.64,21.06,173.02
73.32,18.79,173.23
72.93,16.57,173.41
72.49,14.37,173.57
71.97,12.15,173.71
71.39,9.9,173.83
70.76,7.63,173.97
70.11,5.37,174.15
69.45,3.18,174.42
68.79,1.07,174.81
68.13,-0.96,175.35
67.47,-2.9,176.05
66.81,-4.78,176.93
66.15,-6.58,177.95
65.45,-8.26,179.04
64.73,-9.81,180.15
64.04,-11.23,181.24
63.38,-12.55,182.33
62.82,-13.75,183.41
62.35,-14.86,184.48
61.89,-15.99,185.56
61.41,-17.13,186.57
60.86,-18.21,187.48
60.28,-19.18,188.25
59.71,-20.01,188.89
59.2,-20.71,189.4
58.76,-21.27,189.82
58.49,-21.72,190.17
58.59,-21.87,190.39
59.11,-21.61,190.41
59.95,-21.06,190.3
61.3,-20.2,189.99
63.24,-18.97,189.45
65.19,-17.19,188.84
66.33,-15.06,188.5
66.98,-12.82,188.48
67.52,-10.61,188.51
67.84,-8.73,188.45
68.06,-7.25,188.34
68.15,-6.15,188.12
68.16,-5.35,187.83
68.12,-4.73,187.53
68.06,-4.22,187.28
68.03,-3.8,187.07
68.04,-3.51,186.92
68.1,-3.33,186.82
68.22,-3.26,186.76
68.37,-3.21,186.71
68.51,-3.18,186.68
68.67,-3.16,186.64
68.85,-3.14,186.6
69.02,-3.14,186.56
69.17,-3.13,186.53
69.31,-3.13,186.49
69.42,-3.13,186.46
69.49,-3.13,186.43
69.52,-3.14,186.4
69.53,-3.14,186.38
69.51,-3.15,186.35
69.48,-3.17,186.34
69.44,-3.18,186.33
69.41,-3.19,186.32
69.39,-3.2,186.31
69.4,-3.2,186.29
69.42,-3.2,186.26
69.47,-3.2,186.23
69.54,-3.19,186.19
69.61,-3.17,186.15
69.67,-3.16,186.1
69.73,-3.13,186.06
69.78,-3.1,186.01
69.82,-3.07,185.97
69.87,-3.02,185.94
69.92,-2.97,185.9
69.97,-2.91,185.86
70.04,-2.85,185.81
70.11,-2.79,185.76
70.18,-2.73,185.71
70.24,-2.67,185.65
70.29,-2.6,185.59
70.34,-2.53,185.53
70.4,-2.46,185.46
70.45,-2.38,185.39
70.52,-2.31,185.3
70.6,-2.22,185.22
70.71,-2.13,185.12
70.76,-2.04,184.97
70.73,-1.95,184.79
70.65,-1.77,184.61
70.67,-1.5,184.44
70.76,-1.09,184.28
70.8,-0.62,184.1
70.8,-0.1,183.92
70.8,0.5,183.76
70.76,1.17,183.61
70.72,1.9,183.49
70.68,2.7,183.37
70.65,3.58,183.24
70.61,4.55,183.09
70.6,5.61,182.92
70.64,6.77,182.73
70.74,8.05,182.5
70.9,9.5,182.21
71.07,11.16,181.83
71.21,13.06,181.37
71.28,15.26,180.83
71.22,17.74,180.19
70.97,20.49,179.47
70.49,23.48,178.67
69.75,26.63,177.79
68.99,29.78,176.85
68.53,32.92,175.9
68.3,36.01,174.92
68.08,38.99,173.92
67.68,41.87,172.88
67.1,44.86,171.71
66.47,47.78,170.13
65.9,49.5,168.53
65.39,49.92,167.62
65.1,49.48,167.51
65.12,48.24,167.96
65.47,46.46,168.71
66.03,44.39,169.55
66.63,42.29,170.33
67.15,40.27,171.01
67.59,38.36,171.58
68,36.5,172.05
68.41,34.62,172.42
68.79,32.62,172.7
69.05,30.5,172.9
69.1,28.28,173.04
68.93,25.96,173.13
68.58,23.58,173.21
68.12,21.17,173.33
67.6,18.79,173.53
67.06,16.47,173.81
66.54,14.22,174.19
66.02,12.04,174.65
65.49,9.9,175.15
64.92,7.74,175.65
64.29,5.56,176.11
63.62,3.38,176.51
62.93,1.22,176.88
62.27,-0.87,177.24
61.62,-2.86,177.64
60.99,-4.73,178.14
60.33,-6.47,178.77
59.61,-8.05,179.55
58.77,-9.44,180.46
57.82,-10.64,181.47
56.78,-11.72,182.56
55.65,-12.74,183.73
54.47,-13.75,185.02
53.33,-14.75,186.39
52.3,-15.71,187.81
51.41,-16.6,189.25
50.68,-17.4,190.63
50.08,-18.12,191.91
49.57,-18.76,193.01
49.1,-19.31,193.9
48.69,-19.76,194.52
48.33,-20.09,194.9
48.07,-20.32,195.06
47.97,-20.49,195.08
48.11,-20.55,195.04
48.99,-20.09,194.73
50.26,-19.25,194.25
52.14,-18.05,193.65
54.61,-16.58,193
56.59,-14.86,192.5
57.62,-12.94,192.38
58.38,-10.82,192.36
58.9,-8.84,192.27
59.2,-7.19,192.17
59.34,-5.87,191.98
59.39,-4.96,191.64
59.36,-4.32,191.26
59.26,-3.82,190.91
59.17,-3.39,190.64
59.11,-3.03,190.44
59.12,-2.8,190.31
59.2,-2.66,190.24
59.33,-2.59,190.2
59.46,-2.53,190.17
59.6,-2.48,190.14
59.79,-2.43,190.1
59.99,-2.39,190.07
60.18,-2.36,190.05
60.36,-2.34,190.03
60.5,-2.32,190.02
60.61,-2.3,190.01
60.69,-2.28,190.01
60.74,-2.26,190.02
60.76,-2.24,190.03
60.76,-2.23,190.05
60.74,-2.21,190.07
60.72,-2.2,190.09
60.71,-2.18,190.11
60.71,-2.15,190.12
60.74,-2.12,190.13
60.8,-2.09,190.12
60.88,-2.05,190.11
60.97,-2.01,190.1
61.07,-1.97,190.08
61.16,-1.92,190.07
61.24,-1.88,190.06
61.32,-1.83,190.04
61.4,-1.77,190.03
61.49,-1.71,190.02
61.57,-1.65,190
61.66,-1.59,189.98
61.74,-1.53,189.96
61.84,-1.47,189.93
61.93,-1.41,189.9
62.02,-1.35,189.87
62.12,-1.29,189.83
62.22,-1.22,189.79
62.32,-1.16,189.74
62.41,-1.09,189.68
62.51,-1.02,189.61
62.58,-0.95,189.51
62.65,-0.86,189.39
62.72,-0.74,189.26
62.79,-0.58,189.12
62.87,-0.34,188.97
63,-0.02,188.82
63.12,0.38,188.64
63.22,0.81,188.47
63.3,1.31,188.29
63.37,1.88,188.12
63.41,2.52,187.95
63.43,3.22,187.78
63.44,3.99,187.59
63.45,4.84,187.37
63.49,5.78,187.11
63.57,6.81,186.8
63.71,7.92,186.45
63.89,9.12,186.03
64.11,10.43,185.55
64.37,11.9,185.01
64.62,13.57,184.4
64.83,15.49,183.66
64.93,17.69,182.79
64.81,20.16,181.75
64.35,22.9,180.52
63.47,25.84,179.08
62.29,28.95,177.46
60.97,32.12,175.7
59.65,35.26,173.85
58.4,38.28,171.92
57.11,41.15,169.92
55.65,43.85,167.84
53.92,46.42,165.58
51.95,49.02,162.93
50.32,50.84,160.26
49.76,51.51,158.71
50.26,51.39,158.68
51.82,50.61,160.1
54.12,49.26,162.37
56.68,47.53,164.83
59.03,45.6,167.07
60.92,43.63,168.95
62.26,41.68,170.47
63.12,39.73,171.68
63.64,37.73,172.62
63.93,35.65,173.36
64.09,33.46,174
64.18,31.16,174.57
64.25,28.77,175.11
64.31,26.29,175.65
64.35,23.76,176.17
64.35,21.24,176.67
64.28,18.76,177.15
64.1,16.34,177.61
63.83,13.95,178.05
63.48,11.55,178.47
63.04,9.14,178.85
62.52,6.68,179.19
61.96,4.19,179.52
61.38,1.69,179.88
60.8,-0.74,180.31
60.27,-3.06,180.84
59.75,-5.22,181.51
59.21,-7.2,182.34
58.62,-9,183.33
57.95,-10.61,184.49
57.18,-12.05,185.78
56.29,-13.32,187.16
55.29,-14.43,188.58
54.16,-15.42,190.04
52.98,-16.38,191.53
51.81,-17.36,193.05
50.71,-18.33,194.57
49.72,-19.26,196.02
48.91,-20.09,197.35
48.27,-20.83,198.48
47.74,-21.47,199.4
47.26,-22.03,200.07
46.84,-22.54,200.52
46.56,-22.96,200.74
46.5,-23.27,200.78
46.77,-23.38,200.65
47.63,-22.98,200.13
48.63,-22.29,199.36
49.96,-21.32,198.42
51.89,-20.14,197.32
54.16,-18.77,196.2
55.89,-17.2,195.33
56.91,-15.39,194.86
57.67,-13.41,194.59
58.28,-11.45,194.34
58.67,-9.75,194.15
58.88,-8.39,193.96
58.95,-7.37,193.66
58.93,-6.67,193.28
58.86,-6.12,192.91
58.78,-5.64,192.6
58.72,-5.23,192.35
58.71,-4.89,192.17
58.74,-4.6,192.03
58.84,-4.38,191.9
58.98,-4.23,191.8
59.17,-4.12,191.72
59.4,-4.06,191.67
59.65,-4.02,191.63
59.89,-3.99,191.6
60.12,-3.97,191.57
60.33,-3.95,191.55
60.49,-3.92,191.53
60.62,-3.89,191.52
60.71,-3.87,191.51
60.77,-3.84,191.51
60.79,-3.81,191.51
60.78,-3.79,191.52
60.75,-3.77,191.53
60.72,-3.75,191.53
60.69,-3.72,191.54
60.68,-3.7,191.54
60.69,-3.68,191.54
60.73,-3.65,191.53
60.79,-3.63,191.51
60.87,-3.61,191.49
60.96,-3.58,191.47
61.06,-3.56,191.45
61.16,-3.54,191.43
61.25,-3.51,191.42
61.33,-3.48,191.41
61.41,-3.42,191.4
61.48,-3.35,191.39
61.54,-3.29,191.38
61.58,-3.22,191.38
61.62,-3.15,191.38
61.66,-3.08,191.38
61.69,-3.01,191.38
61.73,-2.94,191.38
61.77,-2.86,191.38
61.81,-2.78,191.38
61.84,-2.69,191.37
61.88,-2.59,191.37
61.9,-2.49,191.35
61.92,-2.38,191.32
61.9,-2.26,191.25
61.83,-2.14,191.14
61.79,-1.99,191.02
61.79,-1.76,190.89
61.79,-1.43,190.74
61.82,-1,190.57
61.87,-0.51,190.39
61.92,0.03,190.2
61.98,0.64,190
62.05,1.31,189.79
62.11,2.04,189.57
62.18,2.81,189.34
62.26,3.65,189.09
62.36,4.55,188.8
62.51,5.52,188.47
62.7,6.56,188.09
62.92,7.69,187.67
63.18,8.96,187.2
63.49,10.44,186.65
63.82,12.17,185.98
64.11,14.16,185.2
64.31,16.45,184.29
64.33,19,183.22
64.09,21.8,181.99
63.56,24.81,180.59
62.88,28,179.07
62.16,31.23,177.48
61.46,34.45,175.85
60.58,37.56,174.19
59.36,40.54,172.45
57.66,43.31,170.53
55.58,45.99,168.3
53.51,48.24,165.74
52.19,49.2,163.77
51.88,48.98,163.19
52.44,48.1,163.78
53.6,46.65,165.11
55.02,44.88,166.67
56.37,42.94,168.12
57.48,40.97,169.35
58.32,39.05,170.37
58.96,37.18,171.25
59.47,35.31,172.05
59.91,33.42,172.84
60.32,31.47,173.69
60.68,29.46,174.61
61,27.41,175.6
61.23,25.31,176.66
61.36,23.2,177.76
61.35,21.08,178.88
61.2,18.98,180.04
60.93,16.89,181.22
60.59,14.8,182.41
60.2,12.73,183.58
59.77,10.67,184.72
59.29,8.62,185.8
58.78,6.58,186.81
58.29,4.56,187.74
57.84,2.55,188.59
57.45,0.57,189.4
57.12,-1.36,190.16
56.84,-3.23,190.9
56.58,-5.01,191.62
56.32,-6.68,192.33
56.04,-8.18,193.02
55.7,-9.49,193.72
55.2,-10.61,194.43
54.45,-11.62,195.2
53.42,-12.64,196.08
52.16,-13.75,197.14
50.8,-14.94,198.43
49.49,-16.11,199.92
48.36,-17.14,201.53
47.52,-17.95,203.11
46.98,-18.54,204.52
46.63,-18.99,205.7
46.32,-19.41,206.63
45.96,-19.88,207.33
45.52,-20.42,207.83
45.1,-20.95,208.14
44.83,-21.39,208.28
44.78,-21.67,208.3
45.04,-21.78,208.26
46.02,-21.32,207.83
47.35,-20.34,206.91
48.95,-19.1,205.85
51.28,-17.71,204.69
53.83,-16.27,203.53
55.97,-14.6,202.57
57.58,-12.61,201.95
58.69,-10.48,201.51
59.52,-8.38,201.14
60.06,-6.58,200.87
60.34,-5.2,200.6
60.43,-4.2,200.22
60.43,-3.47,199.77
60.35,-2.88,199.36
60.25,-2.44,199.04
60.17,-2.11,198.82
60.11,-1.88,198.69
60.1,-1.74,198.61
60.13,-1.65,198.57
60.2,-1.6,198.54
60.31,-1.57,198.52
60.45,-1.54,198.48
60.62,-1.53,198.45
60.81,-1.51,198.42
61,-1.5,198.4
61.21,-1.49,198.37
61.41,-1.48,198.34
61.58,-1.48,198.32
61.72,-1.48,198.3
61.82,-1.48,198.3
61.88,-1.49,198.3
61.91,-1.5,198.3
61.93,-1.5,198.31
61.93,-1.51,198.32
61.93,-1.51,198.33
61.94,-1.51,198.34
61.97,-1.5,198.34
62.03,-1.49,198.33
62.1,-1.47,198.32
62.2,-1.46,198.3
62.3,-1.45,198.28
62.41,-1.44,198.26
62.52,-1.44,198.24
62.63,-1.43,198.23
62.73,-1.43,198.21
62.82,-1.43,198.19
62.9,-1.42,198.18
62.97,-1.41,198.17
63.03,-1.39,198.16
63.09,-1.37,198.15
63.13,-1.35,198.15
63.18,-1.32,198.16
63.22,-1.29,198.16
63.25,-1.25,198.16
63.27,-1.21,198.16
63.3,-1.16,198.16
63.32,-1.12,198.17
63.34,-1.06,198.18
63.37,-1.01,198.18
63.39,-0.95,198.18
63.41,-0.89,198.17
63.43,-0.81,198.15
63.45,-0.74,198.12
63.46,-0.65,198.08
63.42,-0.53,198.01
63.35,-0.39,197.89
63.33,-0.17,197.76
63.35,0.16,197.62
63.38,0.64,197.45
63.41,1.18,197.27
63.44,1.77,197.08
63.48,2.44,196.87
63.52,3.19,196.63
63.57,4.02,196.37
63.63,4.95,196.08
63.71,5.95,195.75
63.81,7.03,195.4
63.96,8.18,195.02
64.14,9.47,194.59
64.35,10.93,194.08
64.58,12.61,193.48
64.79,14.53,192.79
64.89,16.72,191.97
64.78,19.18,190.99
64.35,21.91,189.8
63.55,24.82,188.39
62.48,27.86,186.79
61.32,30.93,185.05
60.24,33.96,183.24
59.33,36.9,181.42
58.38,39.74,179.57
57.17,42.46,177.65
55.57,45.08,175.56
53.53,47.78,173.08
51.49,49.89,170.34
50.21,50.66,168.46
49.83,50.4,167.94
50.35,49.42,168.61
51.55,47.91,170.03
53.05,46.13,171.71
54.52,44.28,173.33
55.81,42.45,174.76
56.85,40.72,176
57.71,39.05,177.09
58.47,37.4,178.07
59.18,35.7,178.98
59.81,33.91,179.87
60.34,32.02,180.75
60.71,30.05,181.61
60.93,27.97,182.48
61.02,25.8,183.35
61,23.57,184.22
60.92,21.35,185.08
60.8,19.16,185.93
60.66,17.01,186.76
60.48,14.88,187.57
60.23,12.75,188.36
59.92,10.6,189.13
59.54,8.45,189.89
59.12,6.32,190.65
58.67,4.23,191.44
58.2,2.18,192.29
57.69,0.2,193.2
57.13,-1.7,194.19
56.51,-3.51,195.26
55.8,-5.19,196.39
54.97,-6.72,197.55
54.04,-8.08,198.71
53.01,-9.24,199.87
51.9,-10.24,201.03
50.79,-11.16,202.25
49.76,-12.08,203.56
48.83,-13.04,204.99
48.04,-14.03,206.51
47.36,-15.01,208.03
46.78,-15.93,209.44
46.22,-16.77,210.66
45.61,-17.53,211.66
44.89,-18.23,212.44
44.1,-18.87,213.04
43.34,-19.44,213.5
42.66,-19.86,213.88
42.2,-20.03,214.23
42.44,-19.6,214.25
42.99,-18.72,214.03
44.11,-17.43,213.56
45.94,-15.85,212.61
48.28,-14.1,211.45
50.77,-12.24,210.32
52.99,-10.29,209.37
54.71,-8.17,208.64
55.87,-6.12,208.09
56.63,-4.51,207.75
57.1,-3.31,207.48
57.37,-2.47,207.19
57.53,-1.81,206.83
57.58,-1.28,206.44
57.59,-0.85,206.06
57.56,-0.54,205.73
57.54,-0.35,205.51
57.52,-0.23,205.41
57.54,-0.17,205.38
57.55,-0.11,205.38
57.56,-0.04,205.37
57.61,0.02,205.35
57.69,0.07,205.33
57.81,0.11,205.31
57.98,0.15,205.28
58.17,0.18,205.25
58.38,0.21,205.22
58.57,0.23,205.2
58.73,0.25,205.19
58.85,0.26,205.18
58.93,0.27,205.19
58.97,0.28,205.21
58.99,0.29,205.23
59.01,0.29,205.25
59.02,0.3,205.28
59.04,0.3,205.29
59.06,0.31,205.31
59.1,0.32,205.32
59.13,0.32,205.34
59.18,0.32,205.35
59.23,0.32,205.36
59.28,0.32,205.38
59.33,0.32,205.39
59.39,0.31,205.4
59.46,0.31,205.41
59.53,0.31,205.42
59.6,0.31,205.43
59.69,0.31,205.43
59.78,0.31,205.44
59.88,0.3,205.44
59.98,0.3,205.44
60.09,0.29,205.44
60.18,0.28,205.45
60.27,0.28,205.47
60.35,0.27,205.48
60.43,0.27,205.49
60.5,0.26,205.5
60.57,0.26,205.51
60.62,0.25,205.52
60.67,0.24,205.53
60.72,0.24,205.55
60.77,0.23,205.56
60.81,0.22,205.57
60.86,0.2,205.58
60.91,0.18,205.58
60.97,0.16,205.59
61.04,0.15,205.59
61.11,0.13,205.59
61.19,0.1,205.59
61.28,0.08,205.59
61.37,0.05,205.59
61.47,0.01,205.59
61.57,-0.03,205.59
61.67,-0.07,205.59
61.76,-0.11,205.59
61.85,-0.16,205.6
61.92,-0.21,205.6
61.98,-0.26,205.62
62.03,-0.31,205.64
62.06,-0.37,205.66
62.09,-0.42,205.68
62.12,-0.47,205.71
62.15,-0.52,205.74
62.19,-0.56,205.77
62.24,-0.6,205.79
62.31,-0.62,205.8
62.38,-0.64,205.82
62.45,-0.66,205.83
62.52,-0.68,205.84
62.59,-0.69,205.84
62.66,-0.71,205.85
62.73,-0.73,205.85
62.8,-0.76,205.86
62.86,-0.78,205.86
62.92,-0.8,205.87
62.99,-0.83,205.88
63.05,-0.86,205.89
63.11,-0.89,205.9
63.18,-0.92,205.91
63.24,-0.96,205.92
63.31,-0.99,205.92
63.39,-1.02,205.93
63.46,-1.06,205.93
63.54,-1.1,205.94
63.62,-1.14,205.94
63.7,-1.18,205.94
63.78,-1.22,205.94
63.87,-1.26,205.95
63.95,-1.3,205.95
64.03,-1.34,205.95
64.1,-1.37,205.95
64.18,-1.41,205.96
64.25,-1.44,205.96
64.31,-1.47,205.97
64.37,-1.5,205.97
64.42,-1.52,205.98



















-,-,-
80.64,-4.77,4.3
80.65,-4.82,4.29
80.66,-4.87,4.28
80.66,-4.9,4.27
80.66,-4.93,4.27
80.65,-4.95,4.26
80.64,-4.97,4.25
80.62,-4.98,4.24
80.61,-4.98,4.23
80.59,-4.98,4.22
80.58,-4.97,4.21
80.58,-4.96,4.2
80.58,-4.95,4.2
80.58,-4.93,4.2
80.58,-4.91,4.19
80.57,-4.89,4.19
80.55,-4.86,4.2
80.52,-4.83,4.21
80.49,-4.8,4.22
80.46,-4.76,4.22
80.43,-4.73,4.23
80.4,-4.68,4.25
80.37,-4.63,4.26
80.34,-4.56,4.27
80.3,-4.47,4.29
80.25,-4.35,4.32
80.19,-4.18,4.36
80.1,-3.92,4.43
79.91,-3.46,4.54
79.68,-2.9,4.68
79.43,-2.38,4.65
79.54,-1.4,4.48
79.54,0.1,4.28
79.36,1.6,4.1
79.31,2.84,3.94
79.33,3.97,3.84
79.28,4.99,3.83
79.2,5.69,3.81
79.21,5.93,3.77
79.18,5.84,3.67
79.03,5.57,3.49
78.79,5.17,3.2
78.49,4.6,2.84
78.2,3.87,2.46
77.93,3,2.12
77.69,1.98,1.85
77.48,0.85,1.68
77.29,-0.35,1.6
77.08,-1.6,1.59
76.84,-2.87,1.65
76.57,-4.17,1.77
76.3,-5.48,1.93
76.1,-6.78,2.11
75.94,-8.06,2.31
75.78,-9.31,2.52
75.61,-10.48,2.73
75.43,-11.5,2.95
75.22,-12.39,3.18
74.94,-13.26,3.45
74.61,-14.23,3.78
74.26,-15.35,4.17
73.93,-16.57,4.58
73.62,-17.79,5
73.31,-18.91,5.39
72.95,-19.9,5.73
72.51,-20.77,6.02
72.01,-21.57,6.28
71.56,-22.3,6.52
71.25,-22.95,6.75
71.06,-23.51,6.94
70.94,-23.99,7.09
70.83,-24.43,7.18
70.69,-24.86,7.24
70.56,-25.25,7.27
70.52,-25.53,7.26
70.63,-25.69,7.22
70.88,-25.74,7.12
71.24,-25.69,6.96
71.71,-25.45,6.72
72.58,-24.68,6.29
73.63,-23.63,5.65
74.87,-22.23,4.9
76.31,-20.75,4.13
77.86,-19.23,3.43
79.28,-17.67,2.85
80.47,-16.08,2.47
81.47,-14.44,2.3
82.18,-12.82,2.4
82.61,-11.22,2.75
82.91,-9.74,3.17
83.08,-8.43,3.53
83.15,-7.31,3.76
83.11,-6.35,3.85
82.99,-5.54,3.84
82.8,-4.85,3.75
82.58,-4.28,3.66
82.37,-3.79,3.59
82.18,-3.37,3.52
82.03,-3.02,3.45
81.92,-2.73,3.39
81.86,-2.47,3.32
81.85,-2.25,3.27
81.89,-2.07,3.23
81.95,-1.92,3.2
82.03,-1.82,3.19
82.11,-1.75,3.17
82.18,-1.69,3.17
82.22,-1.65,3.16
82.24,-1.62,3.17
82.22,-1.59,3.17
82.16,-1.57,3.18
82.08,-1.56,3.2
81.98,-1.53,3.22
81.88,-1.49,3.24
81.75,-1.45,3.25
81.62,-1.41,3.27
81.49,-1.37,3.29
81.35,-1.34,3.31
81.22,-1.31,3.33
81.08,-1.27,3.34
80.96,-1.24,3.35
80.83,-1.21,3.36
80.7,-1.17,3.37
80.58,-1.14,3.38
80.45,-1.11,3.38
80.33,-1.08,3.38
80.21,-1.05,3.38
80.1,-1.03,3.37
79.98,-1.01,3.37
79.87,-0.99,3.37
79.76,-0.97,3.37
79.66,-0.95,3.38
79.55,-0.92,3.39
79.46,-0.88,3.41
79.37,-0.85,3.44
79.29,-0.8,3.47
79.22,-0.75,3.5
79.15,-0.7,3.53
79.08,-0.64,3.56
79.04,-0.58,3.58
79.01,-0.5,3.6
79.02,-0.38,3.59
78.97,-0.25,3.55
78.83,-0.13,3.47
78.64,0,3.39
78.47,0.18,3.3
78.4,0.41,3.26
78.33,0.75,3.23
78.32,1.12,3.19
78.4,1.56,3.16
78.48,2.07,3.11
78.58,2.66,3.06
78.68,3.32,3.02
78.75,4.04,2.99
78.83,4.86,2.97
78.92,5.77,2.94
79.06,6.8,2.91
79.25,7.93,2.87
79.49,9.22,2.82
79.75,10.68,2.77
80.03,12.32,2.7
80.35,14.17,2.62
80.68,16.34,2.54
80.99,18.88,2.44
81.17,21.75,2.32
81.2,24.89,2.2
81.01,28.28,2.09
80.68,31.8,2
80.32,35.3,1.93
80.16,38.72,1.91
80.02,41.94,1.84
79.88,44.94,1.67
79.8,47.68,1.43
79.74,50.5,1.09
79.74,52.68,0.61
80.07,53.41,0.35
80.63,53.08,0.38
81.6,52.12,0.82
82.7,50.7,1.32
83.61,49.01,1.57
84.17,47.2,1.52
84.29,45.35,1.23
84.04,43.45,0.79
83.54,41.44,0.24
82.92,39.25,359.67
82.32,36.86,359.15
81.77,34.31,358.74
81.29,31.63,358.46
80.96,28.93,358.31
80.75,26.33,358.26
80.51,23.84,358.22
80.22,21.45,358.16
79.85,19.11,358.03
79.34,16.75,357.85
78.67,14.34,357.62
77.92,11.88,357.35
77.17,9.43,357.1
76.45,7.02,356.92
75.75,4.68,356.88
75.04,2.43,357
74.31,0.29,357.3
73.56,-1.71,357.74
72.82,-3.6,358.31
72.09,-5.35,358.93
71.31,-6.99,359.59
70.45,-8.53,0.25
69.52,-10.01,0.92
68.59,-11.48,1.6
67.7,-12.98,2.31
66.9,-14.47,3.05
66.24,-15.94,3.83
65.73,-17.37,4.62
65.36,-18.72,5.41
65.08,-19.96,6.14
64.83,-21.06,6.77
64.53,-22,7.26
64.2,-22.78,7.61
63.86,-23.41,7.84
63.61,-23.9,7.97
63.53,-24.28,8.03
63.88,-24.33,7.98
64.67,-23.85,7.74
65.72,-23.08,7.37
67.34,-21.96,6.8
69.64,-20.4,5.91
71.97,-18.34,4.99
73.43,-15.99,4.48
74.2,-13.57,4.51
74.82,-11.19,4.69
75.25,-9.21,4.79
75.5,-7.79,4.86
75.57,-6.81,4.84
75.55,-6.1,4.71
75.49,-5.49,4.54
75.42,-4.94,4.39
75.36,-4.45,4.27
75.32,-4.03,4.2
75.32,-3.72,4.13
75.34,-3.51,4.07
75.41,-3.38,4.02
75.48,-3.29,4.01
75.57,-3.24,4.01
75.64,-3.21,4.01
75.69,-3.17,4.02
75.72,-3.15,4.03
75.71,-3.13,4.05
75.68,-3.11,4.08
75.62,-3.09,4.1
75.53,-3.07,4.13
75.4,-3.04,4.16
75.24,-3,4.2
75.06,-2.96,4.23
74.87,-2.93,4.27
74.7,-2.9,4.3
74.57,-2.89,4.32
